The Godfather: Part II,9.1,200,1974
Schindler's List,8.9,195,1993
The Lord of the Rings: The Return of the King,8.9,201,2003
The Matrix,8.7,136,1999
One Flew Over the Cuckoo's Nest,8.7,133,1975
The Lord of the Rings: The Two Towers,8.7,179,2002
Goodfellas,8.7,146,1990
City of God,8.7,130,2002
Star Wars,8.7,121,1977
Se7en,8.6,127,1995
American History X,8.6,119,1998
The Intouchables,8.6,112,2011
Life Is Beautiful,8.6,116,1997
Léon: The Professional,8.6,110,1994
Spirited Away,8.6,125,2001
Psycho,8.6,109,1960
Casablanca,8.6,102,1942
The Green Mile,8.5,189,1999
The Pianist,8.5,150,2002
Apocalypse Now,8.5,153,1979
The Lion King,8.5,89,1994
Rear Window,8.5,112,1954
Alien,8.5,117,1979
Braveheart,8.4,178,1995
Reservoir Dogs,8.4,99,1992
American Beauty,8.4,122,1999
The Shining,8.4,146,1980
Amélie,8.4,122,2001
Eternal Sunshine of the Spotless Mind,8.4,108,2004
A Clockwork Orange,8.4,136,1971
Requiem for a Dream,8.4,102,2000
Once Upon a Time in America,8.4,229,1984
Taxi Driver,8.4,113,1976
Aliens,8.4,137,1986
Vertigo,8.4,128,1958
Oldboy,8.4,120,2003
To Kill a Mockingbird,8.4,129,1962
Singin' in the Rain,8.4,103,1952
A Separation,8.4,123,2011
Indiana Jones and the Last Crusade,8.3,127,1989
Full Metal Jacket,8.3,116,1987
Inglourious Basterds,8.3,153,2009
Snatch.,8.3,104,2000
Heat,8.3,170,1995
Raging Bull,8.3,129,1980
L.A. Confidential,8.3,138,1997
The Great Escape,8.3,172,1963
The Hunt,8.3,115,2012
Unforgiven,8.3,131,1992
For a Few Dollars More,8.3,132,1965
On the Waterfront,8.3,108,1954
Gran Torino,8.2,116,2008
A Beautiful Mind,8.2,135,2001
The Big Lebowski,8.2,117,1998
How to Train Your Dragon,8.2,98,2010
V for Vendetta,8.2,132,2005
Warrior,8.2,140,2011
Mad Max: Fury Road,8.2,120,2015
Casino,8.2,178,1995
"Lock, Stock and Two Smoking Barrels",8.2,107,1998
The Thing,8.2,109,1982
Trainspotting,8.2,94,1996
The Deer Hunter,8.2,183,1978
Into the Wild,8.2,148,2007
Dial M for Murder,8.2,105,1954
The Bridge on the River Kwai,8.2,161,1957
The Terminator,8.1,107,1984
Sicario,8.1,121,2015
Kill Bill: Vol. 1,8.1,111,2003
There Will Be Blood,8.1,158,2007
Guardians of the Galaxy,8.1,121,2014
Sin City,8.1,124,2005
12 Years a Slave,8.1,134,2013
Rocky,8.1,119,1976
The Bourne Ultimatum,8.1,115,2007
Twelve Monkeys,8.1,129,1995
Platoon,8.1,120,1986
Groundhog Day,8.1,101,1993
Castle in the Sky,8.1,124,1986
Donnie Darko,8.1,113,2001
Life of Brian,8.1,94,1979
Annie Hall,8.1,93,1977
Ip Man,8.1,106,2008
Stand by Me,8.1,89,1986
The Help,8.1,146,2011
Before Sunset,8.1,80,2004
Before Sunrise,8.1,105,1995
Prisoners,8.1,153,2013
A Fistful of Dollars,8.1,99,1964
Ratatouille,8,111,2007
Mystic River,8,138,2003
Kill Bill: Vol. 2,8,137,2004
Scent of a Woman,8,156,1992
The Perks of Being a Wallflower,8,102,2012
Cinderella Man,8,144,2005
Beauty and the Beast,8,84,1991
Dances with Wolves,8,181,1990
District 9,8,112,2009
Her,8,126,2013
Let the Right One In,8,115,2008
Secrets & Lies,8,142,1996
The Artist,8,100,2011
Shaun of the Dead,8,99,2004
All the President's Men,8,138,1976
Manhattan,8,96,1979
Rosemary's Baby,8,136,1968
Days of Heaven,8,94,1978
Whisper of the Heart,8,111,1995
Moon,8,97,2009
The Man from Earth,8,87,2007
Crash,7.9,112,2004
Shrek,7.9,90,2001
How to Train Your Dragon 2,7.9,102,2014
The Fighter,7.9,116,2010
The Notebook,7.9,123,2004
The Insider,7.9,157,1999
The Bourne Identity,7.9,119,2002
Edge of Tomorrow,7.9,113,2014
Big Hero 6,7.9,102,2014
Carlito's Way,7.9,144,1993
The Fault in Our Stars,7.9,126,2014
Iron Man,7.9,126,2008
Before Midnight,7.9,109,2013
The Wrestler,7.9,109,2008
Letters from Iwo Jima,7.9,141,2006
The Blues Brothers,7.9,133,1980
Avatar,7.9,162,2009
"Crouching Tiger, Hidden Dragon",7.9,120,2000
Hot Fuzz,7.9,121,2007
Little Miss Sunshine,7.9,101,2006
My Left Foot,7.9,103,1989
Amour,7.9,127,2012
Mr. Nobody,7.9,141,2009
Children of Men,7.9,109,2006
The Game,7.8,129,1997
Silver Linings Playbook,7.8,122,2012
Apocalypto,7.8,139,2006
American Gangster,7.8,157,2007
The Bourne Supremacy,7.8,108,2004
Ocean's Eleven,7.8,116,2001
The Fugitive,7.8,130,1993
Star Trek Into Darkness,7.8,132,2013
Serpico,7.8,130,1973
Lucky Number Slevin,7.8,110,2006
Drive,7.8,100,2011
Changeling,7.8,141,2008
300,7.8,117,2006
Glengarry Glen Ross,7.8,100,1992
As Good as It Gets,7.8,139,1997
Atonement,7.8,123,2007
Awakenings,7.8,121,1990
Donnie Brasco,7.8,127,1997
Finding Neverland,7.8,106,2004
Ghostbusters,7.8,105,1984
Il Postino: The Postman,7.8,108,1994
Moonrise Kingdom,7.8,94,2012
Nebraska,7.8,115,2013
Ray,7.8,152,2004
What's Eating Gilbert Grape,7.8,118,1993
Night on Earth,7.8,129,1991
The Birds,7.8,119,1963
Gattaca,7.8,106,1997
Seven Pounds,7.7,123,2008
Training Day,7.7,122,2001
Man on Fire,7.7,146,2004
Dawn of the Planet of the Apes,7.7,130,2014
50/50,7.7,100,2011
Despicable Me,7.7,95,2010
21 Grams,7.7,124,2003
Minority Report,7.7,145,2002
Dead Man,7.7,121,1995
Frost/Nixon,7.7,122,2008
Moulin Rouge!,7.7,127,2001
Philadelphia,7.7,125,1993
Sense and Sensibility,7.7,131,1995
Shine,7.7,105,1996
The Blind Side,7.7,129,2009
True Grit,7.7,110,2010
The Last King of Scotland,7.7,121,2006
Dark City,7.7,100,1998
Sympathy for Lady Vengeance,7.7,112,2005
Inside Man,7.6,129,2006
American Psycho,7.6,102,2000
A Few Good Men,7.6,138,1992
The Illusionist,7.6,110,2006
Traffic,7.6,147,2000
Collateral,7.6,120,2004
Ip Man 2,7.6,108,2010
The Hunger Games: Catching Fire,7.6,146,2013
Apollo 13,7.6,140,1995
Field of Dreams,7.6,107,1989
High Fidelity,7.6,113,2000
Hugo,7.6,126,2011
Munich,7.6,164,2005
Sideways,7.6,126,2004
The Fifth Element,7.6,126,1997
The Hours,7.6,114,2002
The Thin Red Line,7.6,170,1998
Source Code,7.5,93,2011
Juno,7.5,96,2007
